ID,Title,Description,Root Cause,Proposed Solution,Effective Solution,Changelog/Edits Made,Timestamp of First Reported,Timestamp of Fix Acknowledged by User
1,Modal doesn't open,When user runs /secret command the modal fails to open with no error shown,Missing app.view handler registration in index.ts for the modal callback_id,Register app.view('secret_modal') handler in index.ts,Added app.view('secret_modal') handler in index.ts that calls handleModalSubmit,src/index.ts: Added app.view('secret_modal') handler,28 July 2026 14:30:00PM IST,28 July 2026 14:45:00PM IST
2,handleModalSubmit not defined,Runtime error handleModalSubmit is not defined when modal is submitted,Missing import statement for handleModalSubmit in index.ts,Import handleModalSubmit from bot/modals in index.ts,Added import statement for handleModalSubmit in src/index.ts,src/index.ts: Added import for handleModalSubmit,28 July 2026 14:46:00PM IST,28 July 2026 14:50:00PM IST
3,Cannot read properties of undefined reading id,Runtime error when accessing body.channel.id during modal submission,Body object structure different than expected - channel field not present in modal submission,Use optional chaining and fallback to container.channel_id,Updated modals.ts to use (body as any).channel?.id with fallback to container.channel_id,src/bot/modals.ts: Fixed channel ID extraction with optional chaining and fallback,28 July 2026 15:10:00PM IST,28 July 2026 15:15:00PM IST
4,Button value has literal placeholder,Button value shows {{secret_id}} instead of actual UUID in Slack,buildPlaceholderBlocks not receiving actual secretId from modal submission,Pass secret.id to buildPlaceholderBlocks function,Updated modals.ts to pass secret.id to buildPlaceholderBlocks and updated view-builder.ts function signature,src/bot/modals.ts: Pass actual secretId to buildPlaceholderBlocks src/slack/view-builder.ts: Updated function signature,28 July 2026 16:00:00PM IST,28 July 2026 16:05:00PM IST
5,Missing text argument in chat.postMessage,Slack API warning about missing text argument in message post,chat.postMessage called without text parameter,Add text argument alongside blocks,Updated modals.ts to include text: Secret shared by ${senderName},src/bot/modals.ts: Added text argument to chat.postMessage,28 July 2026 16:10:00PM IST,28 July 2026 16:15:00PM IST
6,Receiver cannot view message,When recipient clicks View Secret no text is delivered to their DM,Recipient view flow not properly decrypting the secret - ciphertext stored but plaintext never extracted,Implement proper decryption flow using decryptSecret with envelope and master key,Updated actions.ts handleRecipientView to use decryptSecret with proper envelope construction including encryptedDataKey from DB,src/bot/actions.ts: Fixed recipient view to use proper decryption src/db/secrets.ts: Added encryptedDataKey parameter,28 July 2026 17:00:00PM IST,28 July 2026 17:30:00PM IST
7,Receiver sees Viewed By button,Recipient can see and click Viewed By button but nothing happens,No mechanism to hide buttons per user - Slack Block Kit renders same buttons to all viewers,Post separate messages to sender and recipient - recipient DM gets only View Secret button,Added buildRecipientPlaceholderBlocks function that only includes View Secret button Updated modals.ts to post simplified DM to recipient,src/slack/view-builder.ts: Added buildRecipientPlaceholderBlocks src/bot/modals.ts: Post separate DM to recipient with limited buttons,28 July 2026 17:00:00PM IST,28 July 2026 17:30:00PM IST
8,Cancel button not working for receiver,Receiver clicks Revoke but nothing happens - should be sender-only,Auth check exists in handler but button shouldn't be visible to receiver anyway,Since recipient gets separate DM with only View Secret button this issue is resolved by fix #7,Resolved by implementing separate recipient DM message,See fix #7 - recipient DM only has View Secret button,28 July 2026 17:00:00PM IST,28 July 2026 17:30:00PM IST
9,No message in origin channel,When /secret is run in a channel no message appears in that channel,Placeholder was being posted to recipient DM instead of origin channel,Post placeholder to originChannelId where command was run,Updated modals.ts to post placeholder to origin channel and separate DM to recipient,src/bot/modals.ts: Post placeholder to originChannelId not recipient DM,28 July 2026 17:00:00PM IST,28 July 2026 17:30:00PM IST
10,Sender not getting revoke button,Sender cannot see or click the Revoke button in the message,Same root cause as #7 - buttons rendered to everyone but sender expects different behavior,Sender sees message in origin channel with all 3 buttons - this is working as designed,Confirmed sender sees all buttons in origin channel - no code change needed,28 July 2026 17:00:00PM IST,28 July 2026 17:35:00PM IST
